Lowest_Rate,Trial Class Rate,Lesson_Count
12,3,1275
22,12,2119
20,14,599
16,9,1034
12,10,65
30,14.5,65
13.99,8.99,155
40,25,239
23,8.5,107
9,7,6
16,6,155
33,15,575
28,16,403
23,15,259
10.5,5.5,482
11,1,18
17.65,7,378
19,5,2435
20,15,1744
20,10,284
15,2.5,218
18,6,326
11,6,627
12,10,279
10,5,146
18,8,171
15,8,162
18,10,1660
18,4,18
15,4,66
25.5,15,475
20,5,501
27,16,1716
12,5,116
16.95,7.5,162
20,10,2408
25,7,947
20,7,634
14.5,7.5,787
10,4,53
26,14,878
16,10,879
12,1,9
14,3,1293
13,6,67
25,12,207
10,5,47
30,7,867
12,2,21
20,10,1357
13,7,68
12,6,344
12,6,2287
16,7,229
19,8.5,2353
18,9,2708
13,,247
16,10,2765
20,5,43
16,8,203
25,21,952
11,7,97
12,2,41
15,,2
14.5,5,848
18,4,5122
14,10,415
22,9,1470
10,4,104
10,6.5,341
24,13,136
12,7.5,61
18,6,24
14.95,6,903
14.95,10.95,58
16,7,135
12.5,10,80
25,9,209
30,12,222
15,5,200
12,3,124
13,,36
10,8,502
12,4,63
8,5,151
15.75,5,91
35,17,1796
18,8,3324
15,6,636
15,6,208
14,8,191
8,,5
18,10,141
18,5,1
17.5,9,713
20,,3871
20,10,425
20,10,759
13,4,20
19,8,23
11.99,4.99,146
14,10,1495
10,3,117
25,,576
16.95,8.95,80
18,6,83
20,,11
20,7,18
19,10,2553
16.5,8,618
35,18,751
19.98,10,393
15,10,380
26,11,2771
16,2,22
20,10,902
12,5,169
16,1,199
8.75,4.5,564
25,15,1391
30,18,1551
14,4,810
17,12,197
10.99,5.95,1400
9,5,4237
13,6,917
14.2,7,437
16,7,2811
20,,417
16,,61
28,15,2310
14,6,1105
11,2,737
10,10,548
17,3,357
11,4,880
16,9,1761
9,2.5,283
10,5,170
10.5,6.5,367
12,5,312
12,1,139
15,9,3961
12,,70
55,,105
18,9,1424
18,10,1159
8,2.5,190
20,8,437
13,3,326
30,6,106
13,7,564
17.99,7,1031
16,2,45
20,10,203
15,7,188
35,20,39
17,5,267
10,9.99,6197
8,6.5,1864
19.5,10,2545
29,5,1676
20,12,139
18,10,4542
13.5,4,322
15,8,3298
24.99,7,1064
13,6.75,1278
20,17,1781
25,10,65
15,5,137
14,4,
20,1,
12,7,92
9,6,283
16,5,19
12,6,160
15,5.75,153
19,8,139
12,5,2052
37,42,563
16,9.5,264
7.5,3,142
14.5,9.5,616
16.2,9,182
20,7,589
11,7,781
18,6,175
11.99,6.99,1644
18,6,336
12,5,867
27,9,1019
18,10,80
9.5,4,762
39,22,327
13,2.5,59
12.99,8.99,54
13,3.5,4536
39.97,19.97,472
28,9,1128
41,25,1299
22,,495
11.76,4,68
18,8,1308
13,5,334
12,6,377
15,5.99,548
15,7,345
16,7,1221
50,25,3707
10,5,171
14,6.5,2347
17,10,5376
12,5,909
17,11,520
18.99,6.99,577
10,5,533
11,1.03,1934
13,7,2068
14,3,305
17.5,,11283
13,6,1467
14,2,66
13.5,,125
8,3.5,98
30,23,330
15.5,9,226
12,5,36
16.95,3.95,770
10,5,205
18,6,1286
12.9,6,324
15,5,24
12,5,235
18,10,7708
8,2,265
9,7,109
10,3,43
19,9,184
16,9,2479
16,6,1133
15,10,40
10,6,239
12,6,2603
12,5,422
12,5,1740
19,9,1737
11,6,1888
19,6,3204
12,4,305
11,6,141
22,8.99,577
7,6,210
17,10,3640
25,10,3704
25,10,211
25,10,44
9.99,5,188
15,1,688
20,5,12136
11,4.5,3553
9,5,
17,9,863
18,9,5548
10,5,652
20,7,40
12.95,2.95,654
14.5,8,413
18,16,1578
15,7.5,615
14,7,1528
9.99,4.99,3567
11,6,524
16.49,6,447
8,1,36
12,3,308
6.5,4.5,142
12,2,314
10,5,104
30,7,258
9,3,273
14,4,42
10,3.5,208
32,,644
15,5,138
15,5,1512
24,12,2540
11,1,676
8,3,356
14.7,10,17080
12.5,5,483
19,10,412
17,12,381
20,5,114
20,12.5,610
10.5,8.5,1325
16,8,155
13,4,2174
16,9,1029
13,3,2053
11,5,131
11,5,299
17.5,5,314
14,4,56
14,5,167
13,7,6471
12.35,6,160
8,5,94
12,7,142
15,6,392
13,4,320
14.5,2,20
16,10,1802
15,,792
12.95,5.95,138
12,8,438
20,5,103
15,4,732
8,5,129
9,2,701
9,4,275
15,7,56
12,1,4
16,4,176
10,5,15
28,5,38
14,,1284
12,,220
8,7,41
13,4,
8,3,130
17,10,4184
20,10,38
11,4,247
15,8,1128
10,5,416
25,12.9,1913
10,9,2215
15,7,583
14.9,9.99,1520
28,10,26
20,10,786
21.99,19.99,505
11,,30
15,,251
22,6,135
8,3,2097
9.99,5.99,754
15,10,141
12.5,5.5,253
11,1,479
14,4,54
10,6,134
20,10,896
20,6,843
25,8,37
12,6,119
19,12,400
11,,791
16,8,364
18,7,2312
20,8,94
17,20,703
12,6,197
10,3,85
12,5,339
12,7,936
15,10,1728
16,9,252
10,5,832
8.5,3,203
20,10,91
10,4,23
35,,90
12,7,125
29,15,1776
10,4,1453
32,13,2369
15,8,5581
24,8,735
10,3,43
11,4,108
15,10,8809
25,15,7038
10,7,207
44.99,15.99,6035
6,5,628
12,6,551
32,14,1213
10,,666
19,5,32
30,15,93
19.75,9,310
15,10,412
15,2,133
10,8,618
12,7,82
14,4,558
25,11,1040
16,7,386
12,3,1275
22,12,2119
20,14,599
16,9,1034
12,10,65
30,14.5,65
13.99,8.99,155
40,25,239
23,8.5,107
9,7,6
16,6,155
33,15,575
28,16,403
23,15,259
10.5,5.5,482
11,1,18
17.65,7,378
19,5,2435
20,15,1744
20,10,284
12,3,1275
22,12,2119
20,14,599
16,9,1034
12,10,65
30,14.5,65
13.99,8.99,155
40,25,239
23,8.5,107
9,7,6
16,6,155
33,15,575
28,16,403
23,15,259
10.5,5.5,482
11,1,18
17.65,7,378
19,5,2435
20,15,1744
20,10,284
12,3,1275
22,12,2119
20,14,599
16,9,1034
12,10,65
30,14.5,65
13.99,8.99,155
40,25,239
23,8.5,107
9,7,6
16,6,155
33,15,575
28,16,403
23,15,259
10.5,5.5,482
11,1,18
17.65,7,378
19,5,2435
20,15,1744
20,10,284
12,3,1275
22,12,2119
20,14,599
16,9,1034
12,10,65
30,14.5,65
13.99,8.99,155
40,25,239
23,8.5,107
9,7,6
16,6,155
33,15,575
28,16,403
23,15,259
10.5,5.5,482
11,1,18
17.65,7,378
19,5,2435
20,15,1744
20,10,284
12,3,1275
22,12,2119
20,14,599
16,9,1034
12,10,65
30,14.5,65
13.99,8.99,155
40,25,239
23,8.5,107
9,7,6
16,6,155
33,15,575
28,16,403
23,15,259
10.5,5.5,482
11,1,18
17.65,7,378
19,5,2435
20,15,1744
20,10,284
12,3,1275
22,12,2119
20,14,599
16,9,1034
12,10,65
30,14.5,65
13.99,8.99,155
40,25,239
23,8.5,107
9,7,6
16,6,155
33,15,575
28,16,403
23,15,259
10.5,5.5,482
11,1,18
17.65,7,378
19,5,2435
20,15,1744
20,10,284
12,3,1275
22,12,2119
20,14,599
16,9,1034
12,10,65
30,14.5,65
13.99,8.99,155
40,25,239
23,8.5,107
9,7,6
16,6,155
33,15,575
28,16,403
23,15,259
10.5,5.5,482
11,1,18
17.65,7,378
19,5,2435
20,15,1744
20,10,284
12,3,1275
22,12,2119
20,14,599
16,9,1034
12,10,65
30,14.5,65
13.99,8.99,155
40,25,239
23,8.5,107
9,7,6
16,6,155
33,15,575
28,16,403
23,15,259
10.5,5.5,482
11,1,18
17.65,7,378
19,5,2435
20,15,1744
20,10,284
12,3,1275
22,12,2119
20,14,599
16,9,1034
12,10,65
30,14.5,65
13.99,8.99,155
40,25,239
23,8.5,107
9,7,6
16,6,155
33,15,575
28,16,403
23,15,259
10.5,5.5,482
11,1,18
17.65,7,378
19,5,2435
20,15,1744
20,10,284
12,3,1275
22,12,2119
20,14,599
16,9,1034
12,10,65
30,14.5,65
13.99,8.99,155
40,25,239
23,8.5,107
9,7,6
16,6,155
33,15,575
28,16,403
23,15,259
10.5,5.5,482
11,1,18
17.65,7,378
19,5,2435
20,15,1744
20,10,284
12,3,1275
22,12,2119
20,14,599
16,9,1034
12,10,65
30,14.5,65
13.99,8.99,155
40,25,239
23,8.5,107
9,7,6
16,6,155
33,15,575
28,16,403
23,15,259
10.5,5.5,482
11,1,18
17.65,7,378
19,5,2435
20,15,1744
20,10,284
12,3,1275
22,12,2119
20,14,599
16,9,1034
12,10,65
30,14.5,65
13.99,8.99,155
40,25,239
23,8.5,107
9,7,6
16,6,155
33,15,575
28,16,403
23,15,259
10.5,5.5,482
11,1,18
17.65,7,378
19,5,2435
20,15,1744
20,10,284
12,3,1275
22,12,2119
20,14,599
16,9,1034
12,10,65
30,14.5,65
13.99,8.99,155
40,25,239
23,8.5,107
9,7,6
16,6,155
33,15,575
28,16,403
23,15,259
10.5,5.5,482
11,1,18
17.65,7,378
19,5,2435
20,15,1744
20,10,284
12,3,1275
22,12,2119
20,14,599
16,9,1034
12,10,65
30,14.5,65
13.99,8.99,155
40,25,239
23,8.5,107
9,7,6
16,6,155
33,15,575
28,16,403
23,15,259
10.5,5.5,482
11,1,18
17.65,7,378
19,5,2435
20,15,1744
20,10,284
12,3,1275
22,12,2119
20,14,599
16,9,1034
12,10,65
30,14.5,65
13.99,8.99,155
40,25,239
23,8.5,107
9,7,6
16,6,155
33,15,575
28,16,403
23,15,259
10.5,5.5,482
11,1,18
17.65,7,378
19,5,2435
20,15,1744
20,10,284
12,3,1275
22,12,2119
20,14,599
16,9,1034
12,10,65
30,14.5,65
13.99,8.99,155
40,25,239
23,8.5,107
9,7,6
16,6,155
33,15,575
28,16,403
23,15,259
10.5,5.5,482
11,1,18
17.65,7,378
19,5,2435
20,15,1744
20,10,284
12,3,1275
22,12,2119
20,14,599
16,9,1034
12,10,65
30,14.5,65
13.99,8.99,155
40,25,239
23,8.5,107
9,7,6
16,6,155
33,15,575
28,16,403
23,15,259
10.5,5.5,482
11,1,18
17.65,7,378
19,5,2435
20,15,1744
20,10,284
12,3,1275
22,12,2119
20,14,599
16,9,1034
12,10,65
30,14.5,65
13.99,8.99,155
40,25,239
23,8.5,107
9,7,6
16,6,155
33,15,575
28,16,403
23,15,259
10.5,5.5,482
11,1,18
17.65,7,378
19,5,2435
20,15,1744
20,10,284
12,3,1275
22,12,2119
20,14,599
16,9,1034
12,10,65
30,14.5,65
13.99,8.99,155
40,25,239
23,8.5,107
9,7,6
16,6,155
33,15,575
28,16,403
23,15,259
10.5,5.5,482
11,1,18
17.65,7,378
19,5,2435
20,15,1744
20,10,284
12,3,1275
22,12,2119
20,14,599
16,9,1034
12,10,65
30,14.5,65
13.99,8.99,155
40,25,239
23,8.5,107
9,7,6
16,6,155
33,15,575
28,16,403
23,15,259
10.5,5.5,482
11,1,18
17.65,7,378
19,5,2435
20,15,1744
20,10,284
12,3,1275
22,12,2119
20,14,599
16,9,1034
12,10,65
30,14.5,65
13.99,8.99,155
40,25,239
23,8.5,107
9,7,6
16,6,155
33,15,575
28,16,403
23,15,259
10.5,5.5,482
11,1,18
17.65,7,378
19,5,2435
20,15,1744
20,10,284
12,3,1275
22,12,2119
20,14,599
16,9,1034
12,10,65
30,14.5,65
13.99,8.99,155
40,25,239
23,8.5,107
9,7,6
16,6,155
33,15,575
28,16,403
23,15,259
10.5,5.5,482
11,1,18
17.65,7,378
19,5,2435
20,15,1744
20,10,284
12,3,1275
22,12,2119
20,14,599
16,9,1034
12,10,65
30,14.5,65
13.99,8.99,155
40,25,239
23,8.5,107
9,7,6
16,6,155
33,15,575
28,16,403
23,15,259
10.5,5.5,482
11,1,18
17.65,7,378
19,5,2435
20,15,1744
20,10,284
12,3,1275
22,12,2119
20,14,599
16,9,1034
12,10,65
30,14.5,65
13.99,8.99,155
40,25,239
23,8.5,107
9,7,6
16,6,155
33,15,575
28,16,403
23,15,259
10.5,5.5,482
11,1,18
17.65,7,378
19,5,2435
20,15,1744
20,10,284
12,3,1275
22,12,2119
20,14,599
16,9,1034
12,10,65
30,14.5,65
13.99,8.99,155
40,25,239
23,8.5,107
9,7,6
16,6,155
33,15,575
28,16,403
23,15,259
10.5,5.5,482
11,1,18
17.65,7,378
19,5,2435
20,15,1744
20,10,284
12,3,1275
22,12,2119
20,14,599
16,9,1034
12,10,65
30,14.5,65
13.99,8.99,155
40,25,239
23,8.5,107
9,7,6
16,6,155
33,15,575
28,16,403
23,15,259
10.5,5.5,482
11,1,18
17.65,7,378
19,5,2435
20,15,1744
20,10,284
12,3,1275
22,12,2119
20,14,599
16,9,1034
12,10,65
30,14.5,65
13.99,8.99,155
40,25,239
23,8.5,107
9,7,6
16,6,155
33,15,575
28,16,403
23,15,259
10.5,5.5,482
11,1,18
17.65,7,378
19,5,2435
20,15,1744
20,10,284
12,3,1275
22,12,2119
20,14,599
16,9,1034
12,10,65
30,14.5,65
13.99,8.99,155
40,25,239
23,8.5,107
9,7,6
16,6,155
33,15,575
28,16,403
23,15,259
10.5,5.5,482
11,1,18
17.65,7,378
19,5,2435
20,15,1744
20,10,284
12,3,1275
22,12,2119
20,14,599
16,9,1034
12,10,65
30,14.5,65
13.99,8.99,155
40,25,239
23,8.5,107
9,7,6
16,6,155
33,15,575
28,16,403
23,15,259
10.5,5.5,482
11,1,18
17.65,7,378
19,5,2435
20,15,1744
20,10,284
12,3,1275
22,12,2119
20,14,599
16,9,1034
12,10,65
30,14.5,65
13.99,8.99,155
40,25,239
23,8.5,107
9,7,6
16,6,155
33,15,575
28,16,403
23,15,259
10.5,5.5,482
11,1,18
17.65,7,378
19,5,2435
20,15,1744
20,10,284
12,3,1275
22,12,2119
20,14,599
16,9,1034
12,10,65
30,14.5,65
13.99,8.99,155
40,25,239
23,8.5,107
9,7,6
16,6,155
33,15,575
28,16,403
23,15,259
10.5,5.5,482
11,1,18
17.65,7,378
19,5,2435
20,15,1744
20,10,284
12,3,1275
22,12,2119
20,14,599
16,9,1034
12,10,65
30,14.5,65
13.99,8.99,155
40,25,239
23,8.5,107
9,7,6
16,6,155
33,15,575
28,16,403
23,15,259
10.5,5.5,482
11,1,18
17.65,7,378
19,5,2435
20,15,1744
20,10,284
12,3,1275
22,12,2119
20,14,599
16,9,1034
12,10,65
30,14.5,65
13.99,8.99,155
40,25,239
23,8.5,107
9,7,6
16,6,155
33,15,575
28,16,403
23,15,259
10.5,5.5,482
11,1,18
17.65,7,378
19,5,2435
20,15,1744
20,10,284
